Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
SHENZHEN JPT OPTO-ELECTRON-A,CNE1000062T0 (ISIN),417,"4,354",0.00%
SHENZHEN MINDRAY BIO-MEDIC-A,BHQK864,"17,878","1,002,968",0.02%
SHENZHEN SUNLORD ELECTRONI-A,BD5C841,"6,531","45,232",0.00%
SHERWIN WILLIAMS CO COM,2804211,253,"138,653",0.00%
SHIMADZU CORPORATION,6804369,286,"13,105",0.00%
SHIMANO INC SHIMANO INC,6804820,91,"19,903",0.00%
SHIN ETSU CHEMICAL CO LTD,6804585,"1,861","101,269",0.00%
SHINHAN FINANCIAL GROUP LTD,6397502,"41,268","2,157,410",0.04%
SHIONOGI & CO LTD,6804682,"1,101","25,105",0.00%
SHISEIDO CO LTD ORD,6805265,473,"13,540",0.00%
SHIZUOKA FINANCIAL GROUP INC,BP38QJ6,"1,255","16,573",0.00%
SHOPIFY INC - A SH,BX865C7,"1,222","209,992",0.00%
SHOPIFY INC - A SH,BXDZ9Z0,"55,017","9,448,383",0.16%
SIBANYE STILLWATER LTD,BL0L913,"1,870,350","2,398,091",0.04%
SICHUAN CHUANTOU ENERGY CO-A,BP3R4Y4,"98,413","373,476",0.01%
SICHUAN KELUN PHARMACEUTIC-A,BD5CL08,"77,671","511,429",0.01%
SIEMENS A G ORD,5727973,740,"233,389",0.00%
SIEMENS ENERGY AG SIEMENS ENERGY AG,BMTVQK9,761,"64,129",0.00%
SIEMENS HEALTHINEERS AG,BD594Y4,335,"28,697",0.00%
SIEYUAN ELECTRIC CO LTD-A,BD5C7M2,330,"5,280",0.00%
SIG GROUP AG,BD5GN60,"1,572","50,105",0.00%
SIGMA COMPANY LIMITED SIG,BF13K02,"2,193,055","5,745,805",0.10%
SIKA AG-BR,BF2DSG3,195,"74,837",0.00%
SILEX SYSTEMS LIMITED NPV,6111735,"252,464","1,274,943",0.02%
SIMON PROPERTY GROUP INC COM USD0.0001,2812452,335,"93,289",0.00%
SIMS LTD,B0LCW75,"629,764","7,481,599",0.12%
SINGAPORE AIRLINES LTD,6811734,713,"5,436",0.00%
SINGAPORE EXCHANGE LTD,6303866,"1,451","21,883",0.00%
SINGAPORE TECH ENGINEERING,6043214,250,"1,377",0.00%
SINGAPORE TELECOMMUNICATIONS,B02PY11,"11,005","40,130",0.00%
SINO BIOPHARMACEUTICAL,B00XSF9,"2,766,286","1,840,537",0.03%
SINO LAND CO,6810429,"1,745","2,849",0.00%
SIRIUS XM HOLDINGS INC,BQWS627,"1,305","48,068",0.00%
SISTEMA PJSC FC,B5B6XH9,"10,092",0,0.00%
SITC INTERNATIONAL HOLDINGS,B61X7R5,"1,382","5,949",0.00%
SITEMINDER LTD,BLH35X6,"13,534","81,744",0.00%
SITIOS LATINOAMERICA SAB DE,BNTFDQ3,700,182,0.00%
SITIOS LATINOAMERICA SA-RTS29NOV2024,MX01LA080009 (ISIN),700,0,0.00%
SK HYNIX INC,6450267,"92,763","17,698,197",0.29%
SK KAKEN CO LTD NPV,6826578,"6,147","595,710",0.01%
SK TELECOM CO LTD ORD,6224871,"28,018","1,696,767",0.03%
SKANDINAVISKA ENSKILDA BAN-A SHS A,4813345,"1,606","35,564",0.00%
SKANSKA AB-B SHS,7142091,180,"6,130",0.00%
SKF AB-B SHARES,B1Q3J35,215,"6,524",0.00%
SKILLSOFT CORP,BMCZQ19,"31,606","1,223,114",0.02%
SKYCITY ENTERTAINMENT GROUP,6151311,"1,703,829","2,232,016",0.04%
SKYWORKS SOLUTIONS INC COM,2961053,197,"28,146",0.00%
SL GREEN REALTY CORP,BPGKM57,"7,683","842,798",0.01%
SMARTGROUP CORP LTD SMARTGROUP CORP LTD,BNB5WS6,"16,666","129,493",0.00%
SMARTONE TELECOMM HLDG ORD,6856995,"123,052","105,666",0.00%
SMC CORPORATION,6763965,59,"37,808",0.00%
SMITH & NEPHEW PLC -NEW,922320,895,"17,952",0.00%
SMITH (A.O.) CORP COM USD1,2816023,"9,956","1,096,835",0.02%
SMITHS INDUSTRIES PLC,B1WY233,195,"6,785",0.00%
SMUCKER J M CO COM NEW,2951452,126,"22,474",0.00%
SMURFIT WESTROCK PLC,BRK49M5,633,"55,033",0.00%
SNAM SPA,7251470,"2,716","19,428",0.00%
SNAP INC - A SNAP,BD8DJ71,"1,024","17,807",0.00%
SNAP ON INC COM,2818740,43,"23,444",0.00%
SNOWFLAKE INC-CLASS A,BN134B7,294,"73,398",0.00%
SOCIETE GENERALE,5966516,745,"33,847",0.00%
SODEXHO ALLIANCE SA SODEXHO ALLIANCE SA,7062713,82,"10,862",0.00%
SOFINA NPV,4820301,10,"3,518",0.00%
SOFTBANK CORP,BF5M0K5,"30,571","62,489",0.00%
SOFTBANK GROUP CORP,6770620,"1,058","99,839",0.00%
S-OIL CORPORATION,6406055,"20,007","1,202,866",0.02%
SOLLERS PJSC SVAV,7425305,"6,103",0,0.00%
SOLVENTUM CORP-W/I,BMTQB43,155,"16,505",0.00%
SOMPO HOLDINGS INC,B62G7K6,"1,166","49,369",0.00%
SONIC HEALTHCARE LTD,6821120,"90,562","2,446,067",0.04%
Sonova Holding AG,7156036,"4,937","2,607,051",0.04%
SONY GROUP CORP,6821506,"53,294","1,845,206",0.03%
SOOCHOW SECURITIES CO LTD-A,BP3R6Z9,"77,606","133,172",0.00%
SOUTH32 LTD S32,BWSW5D9,"4,075,627","13,857,131",0.23%
SOUTHERN CO COM,2829601,"1,113","147,989",0.00%
SOUTHWEST AIRLS CO COM,2831543,98,"5,336",0.00%
SPARK NEW ZEALAND LTD,6881500,"618,932","1,664,928",0.03%
SPARTAN RESORCES LTD/AUSTRA,BS2L471,"1,427,839","2,013,253",0.03%
SPIRAX GROUP PLC,BWFGQN1,56,"7,778",0.00%
SPOTIFY TECHNOLOGY SA SPOT,BFZ1K46,"9,385","6,781,115",0.11%
SQUARE ENIX HOLDINGS CO LTD,6309262,"5,654","357,186",0.01%
SS&C TECHNOLOGIES HOLDINGS,B58YSC6,316,"38,736",0.00%
SSE PLC,790873,"1,203","39,029",0.00%
ST JAMES'S PLACE CAPITAL PLC ST JAMES'S,766937,"120,119","2,109,013",0.04%
STANDARD CHARTERED PLC,408284,"3,176","63,515",0.00%
STANDARDAERO INC,US85423L1035 (ISIN),"3,650","145,948",0.00%
STANLEY BLACK & DECKER INC,B3Q2FJ4,148,"19,231",0.00%
STANMORE COAL LTD NPV,B4KDPZ6,"215,385","648,308",0.01%
STANTEC INC COM NPV,2854238,119,"15,131",0.00%
STAR ENTERTAINMENT GRP LTD,BD5ZR98,"-2,462",-468,0.00%
STARBUCKS CORP COM,2842255,"14,808","2,182,366",0.04%
STATE BANK OF INDIA,BSQCB24,"6,953","104,263",0.00%
STATE STR CORP COM,2842040,339,"53,748",0.00%
STEADFAST GROUP LTD NPV,BCT5FD7,"114,829","666,005",0.01%
STEEL DYNAMICS INC COM,2849472,"5,195","957,136",0.02%
STELLANTIS NV,BMD8F98,"16,400","346,811",0.01%
STELLANTIS NV,BMD8KX7,"2,309","48,615",0.00%
STERIS PLC,BFY8C75,85,"28,276",0.00%
STMICROELECTRONICS NV,5962332,729,"29,595",0.00%
STOCKLAND NPV (STAPLED),6850856,"1,054,413","5,061,183",0.08%
STORA ENSO OYJ-R SHS,5072673,397,"6,450",0.00%
STRAUMANN HOLDING AG-REG,BQ7ZV06,123,"25,070",0.00%
STRIKE ENERGY LTD NPV,B01NQF4,"964,144","202,470",0.00%
STRYKER CORP COM,2853688,360,"209,201",0.00%
SUBARU CORP,6356406,529,"15,329",0.00%
SUMEC CORP LTD-A,BMF4S06,"13,048","26,696",0.00%
SUMITOMO CORPORATION,6858946,"1,217","42,891",0.00%
SUMITOMO ELECTRIC INDS ORD,6858708,625,"18,320",0.00%
SUMITOMO FORESTRY CO LTD,6858861,"14,300","778,021",0.01%
SUMITOMO METAL MINING CO LTD,6858849,228,"8,481",0.00%
SUMITOMO MITSUI FINANCIAL GR,6563024,"25,684","993,518",0.02%
SUMITOMO MITSUI TRUST GROUP,6431897,"20,851","791,150",0.01%
SUMITOMO OSAKA CEMENT CO LTD,6858548,"9,760","332,704",0.01%
SUMITOMO REALTY & DEVELOPMNT,6858902,305,"15,508",0.00%
SUN COMMUNITIES INC COM USD0.01,2860257,110,"21,837",0.00%
SUN CORP,6507118,"10,719","1,082,877",0.02%
SUN HUNG KAI PROPERTIES,6859927,"1,334","20,702",0.00%
SUN LIFE FINANCIAL INC,2566124,666,"63,824",0.00%
SUNCOR ENERGY INC COM,B3NB1P2,"17,768","1,023,806",0.02%
SUNCORP GROUP LTD,6585084,"501,426","9,532,105",0.16%
SUNGROW POWER SUPPLY CO LT-A,BD5CGB4,"16,213","263,342",0.00%
SUNTORY BEVERAGE & NPV,BBD7Q84,261,"13,444",0.00%
SUNWODA ELECTRONIC CO LTD-A,BD5CCV6,"5,275","25,892",0.00%
SUPER MICRO COMPUTER INC,US86800U3023 (ISIN),585,"28,819",0.00%
SUPER RETAIL GROUP LTD,B01C7R0,"64,847","984,376",0.02%
SUPERLOOP LTD SLC,BYPC6V1,"474,556","1,039,278",0.02%
SUZUKI MOTOR CORPORATION,6865504,"1,538","28,295",0.00%
SVB FINANCIAL GROUP COM USD0.001,2808053,550,5,0.00%
SVENSKA CELLULOSA AB-B SHS,B1VVGZ5,762,"15,641",0.00%
SVENSKA HANDELSBANKEN-A,BXDZ9Q1,"2,394","39,963",0.00%
SVITZER A/S,BPXW7F1,226,"11,358",0.00%
SWATCH GROUP AG/THE-BR,7184725,14,"4,165",0.00%
SWEDBANK AB - A SHARES,4846523,"1,178","37,583",0.00%
SWEDISH ORPHAN BIOVITRUM AB,B1CC9H0,372,"17,265",0.00%
SWIRE PACIFIC LTD  'A',6867748,367,"5,374",0.00%
SWIRE PACIFIC LTD 'B',6867760,"143,682","334,595",0.01%
SWISS LIFE HOLDING AG-REG,7437805,35,"43,529",0.00%
SWISS PRIME SITE-REG CHF25.60(REGD),B083BH4,59,"10,421",0.00%
SWISS RE AG,B545MG5,307,"71,803",0.00%
SWISSCOM AG ORD SHS(REGD),5533976,36,"32,680",0.00%
SYENSQO SA,BPSLYH4,94,"11,134",0.00%
SYLVANIA PLATINUM LTD,B3V5PR6,"311,910","263,726",0.00%
SYMBOTIC INC,BPG82M8,"34,875","1,335,531",0.02%
SYMRISE AG NPV (BR),B1JB4K8,147,"25,181",0.00%
SYNCHRONY FINANCIAL SYF,BP96PS6,"24,739","2,597,133",0.04%
SYNOPSYS INC COM,2867719,"5,363","4,203,999",0.07%
SYNTHOMER PLC,BNTVWJ7,"75,461","245,752",0.00%
SYRAH RESOURCES LTD NPV,B23HV20,"2,218,469","454,786",0.01%
SYSCO CORP COM,2868165,"27,793","3,432,268",0.06%
SYSMEX CORPORATION SHS,6883807,648,"19,421",0.00%
T HASEGAWA CO LTD NPV,6899268,"6,091","194,363",0.00%
T ROWE PRICE GROUP INC COM,2702337,235,"42,963",0.00%
T&D HOLDINGS INC,6744294,591,"17,648",0.00%
TABCORP HOLDINGS LIMITED,6873262,"1,416,612","800,386",0.01%
TAISEI CORPORATION,6870100,220,"15,035",0.00%
TAIWAN SEMICONDUCTOR MANUFAC,6889106,"595,269","31,524,955",0.52%
TAIWAN SEMICONDUCTOR-SP ADR,2113382,"64,730","20,647,053",0.34%
TAKEDA PHARMACEUTICAL CO LTD,6870445,"1,495","64,235",0.00%
TAKE-TWO INTERACTIVE S COM,2122117,157,"46,667",0.00%
TALANX AG TALANX AG,B8F0TD6,-72,"-9,885",0.00%
TAMBURI INVESTMENT PARTNERS EUR0.52,B0NN179,"102,235","1,434,546",0.02%
TANDEM DIABETES CARE INC TNDM,BF3W461,"50,161","2,918,178",0.05%
TANGSHAN PORT GROUP CO LTD-A,BP3R9F0,"146,163","151,453",0.00%
TANGSHAN SANYOU CHEMICAL I-A,BP3RB98,"8,103","9,626",0.00%
TARGA RESOURCES CORP COM USD0.001,B55PZY3,155,"44,569",0.00%
TARGET CORP COM,2259101,479,"104,491",0.00%
TATA CONSULTANCY SVS LTD,B01NPJ1,"109,538","8,461,434",0.14%
TAV HAVALIMANLARI HOLDING AS TRY1,B1RMFT9,"24,969","312,485",0.01%
TAYLOR WIMPEY PLC,878230,"1,822","4,499",0.00%
TC ENERGY CORP,BJMY6G0,"1,047","78,732",0.00%
TCL CORP-A,BD5CP28,"14,275","15,797",0.00%
TCS GROUP HLDG PLC GDR EACH REPR 1 A REG,BF233S0,"20,825",0,0.00%
TDK CORP TDK CORP,6869302,"1,616","34,413",0.00%
TE CONNECTIVITY PLC,BRC3N84,334,"77,131",0.00%
TECHNOLOGY ONE LIMITED NPV(POST RECON),6302410,"283,145","8,865,265",0.15%
TECHTRONIC INDUSTRIES CO,B0190C7,"97,508","2,078,077",0.03%
TECK RESOURCES LTD-CLS B,2879327,"6,716","439,540",0.01%
TEEJAY LANKA PLC,B5ZXWL3,"480,392","138,761",0.00%
TELE2 AB-B SHS,B97C733,-121,"-1,938",0.00%
TELECOM ITALIA EUR0.55,7634394,"20,015","8,255",0.00%
TELEDYNE TECHNOLOGIES INC COM USD0.01,2503477,50,"37,319",0.00%
TELEFLEX INC COM,2881407,39,"11,090",0.00%
TELEFONICA SA EUR1,5732524,"4,931","32,466",0.00%
TELENOR ASA,4732495,949,"17,127",0.00%
TELEPERFORMANCE EUR2.50,5999330,54,"7,456",0.00%
TELEVISION BROADCASTS LTD,B87ZDH1,"123,110","77,559",0.00%
TELIA CO AB,5978384,863,"3,871",0.00%
TELIX PHARMACEUTICALS LTD TLX,BF7M092,"257,607","6,339,709",0.11%
TELKOM INDONESIA PERSERO TBK,BD4T6W7,"25,350,374","6,893,807",0.11%
TELSTRA CORP LTD SHS,6087289,"8,455,139","33,905,109",0.56%
TELUS CORP COM WHEN ISSUE,2381093,232,"5,074",0.00%
TEMENOS AG - REG,7147892,44,"5,040",0.00%
TEMPLE & WEBSTER GROUP LTD TPW,BZ1MWM5,-91,"-1,194",0.00%
TENARIS SA,BMHVLR3,"16,560","500,472",0.01%
TENCENT HOLDINGS LTD,BMMV2K8,"208,147","18,046,904",0.30%
TENCENT HOLDINGS LTD-UNS ADR TCEHY,B3F2DZ7,"22,197","1,906,572",0.03%
TERADYNE INC COM,2884183,174,"35,299",0.00%
TERNA SPA SHS,B01BN57,"1,382","17,616",0.00%
TERNIUM SA-SPONSORED ADR ADR EACH REPR 1,B0XGGY0,"25,372","1,191,676",0.02%
TERUMO CORP,6885074,"1,278","40,212",0.00%
TESCO PLC,BLGZ986,"136,664","1,018,131",0.02%
TESLA INC,B616C79,"18,865","12,304,995",0.20%
TEVA PHARMACEUTICAL IN ADR,2883878,"1,049","37,339",0.00%
TEXAS INSTRS INC COM,2885409,"1,011","306,176",0.01%
TEXAS PACIFIC LAND CORP,BM99VY2,287,"513,406",0.01%
TFI INTERNATIONAL INC,BDRXBF4,76,"16,566",0.00%
THAI BEVERAGE PCL THB1,B15F664,"4,121,274","2,659,217",0.04%
THAI UNION GROUP PCL F-TU,BYTBHT9,"2,784,889","1,715,013",0.03%
THANACHART CAPITAL-FOREIGN,BF5DGN3,"77,824","186,176",0.00%
THE CAMPBELL'S COMPANY,2162845,196,"13,264",0.00%
THERMO FISHER SCIENTIFIC INC,2886907,"4,590","3,856,398",0.06%
THOMSON-REUTERS CORP,BPLLTY3,166,"43,090",0.00%
THOR INDUSTRIES INC,2889876,"1,957","302,525",0.01%
TIANMA MICROELECTRONICS-A,BD5CKM3,"160,890","319,622",0.01%
TIANSHAN ALUMINUM GROUP CO-A,BMQBT81,"4,084","7,071",0.00%
TIDEWATER INC TDW,BDFGDQ0,"5,956","526,291",0.01%
TietoEVRY Oyj,5479702,"60,258","1,715,261",0.03%
TIME DOTCOM COM MYR1,6336538,"127,296","215,645",0.00%
TINGYI (CAYMAN ISLN) HLDG CO,6903556,"160,245","337,180",0.01%
TINY LTD,BRJPGZ1,"289,093","529,189",0.01%
TIS INC,B2Q4CR0,102,"3,922",0.00%
TITAN CO LTD,6139340,"32,262","1,979,926",0.03%
TJX COS INC NEW COM,2989301,"23,758","4,635,680",0.08%
TMK PJSC TRMK,B590TG4,"112,762",0,0.00%
T-MOBILE US INC,B94Q9V0,570,"203,087",0.00%
TMX GROUP LTD COM NPV,B8KH5G7,346,"17,195",0.00%
TOAST INC-CLASS A,BP6D7B7,269,"15,848",0.00%
TODA CORPORATION,6893884,"30,551","302,196",0.01%
TOEI ANIMATION CO LTD,6301871,"2,062","74,921",0.00%
TOEI CO LTD ORD,6895181,"17,618","1,060,977",0.02%
TOHO CO LTD TOHO CO LTD,6895200,34,"2,148",0.00%
TOKIO MARINE HOLDINGS INC,6513126,"1,848","108,813",0.00%
TOKYO CEMENT LANKA-NON VOTIN,B0G5FY7,"911,157","305,880",0.01%
TOKYO ELECTRIC POWER CO HOLDINGS INC,6895404,"1,535","7,491",0.00%
TOKYO ELECTRON LIMITED,6895675,549,"136,347",0.00%
TOKYO GAS CO LTD,6895448,448,"20,110",0.00%
TOKYU CORPORATION,6896548,522,"9,047",0.00%
TOPBUILD CORP-W/I,BZ0P3W2,"1,082","543,881",0.01%
TOPPAN HOLDINGS INC,6897024,"22,864","988,994",0.02%
TORAY INDUSTRIES INC,6897143,"2,093","21,540",0.00%
TORO CO COM,2897040,"17,590","2,275,615",0.04%
TOROMONT INDUSTRIES LTD COM STK NPV,2897103,97,"12,331",0.00%
TORONTO DOMINION BK ON COM NEW,2897222,"1,828","157,134",0.00%
TOSEI CORP NPV,6735823,"60,007","1,552,813",0.03%
TOTALENERGIES SE,B15C557,"2,401","214,290",0.00%
TOTO LIMITED ORD,6897466,148,"5,804",0.00%
TOURMALINE OIL CORP COM NPV,B3QJ0H8,294,"21,999",0.00%
TOYO SEIKAN GROUP HOLDINGS LTD,6900267,"52,357","1,294,864",0.02%
TOYOTA INDUSTRIES CORP,6900546,"11,215","1,482,744",0.02%
TOYOTA MOTOR CORP,6900643,"58,002","1,875,275",0.03%
TOYOTA TSUSHO CORP,6900580,703,"20,426",0.00%
TPG TELECOM LTD TPG TELECOM LTD,BMB2257,"1,655,124","7,431,505",0.12%
TRACTOR SUPPLY COMPANY COM USD0.008,2900335,"27,403","2,348,365",0.04%
TRADE DESK INC/THE -CLASS A TTD,BD8FDD1,"43,443","8,246,610",0.14%
TRADEWEB MARKETS INC-CLASS A TW,BJXMVK2,"10,070","2,129,392",0.04%
TRANE TECHNOLOGIES PLC,BK9ZQ96,270,"161,026",0.00%
TRANSOCEAN LTD,B3KFWW1,"48,720","295,085",0.00%
TRANSUNION TRU,BYMWL86,"10,395","1,556,477",0.03%
Transurban Group,6200882,"401,019","5,369,648",0.09%
TRAVELERS COS INC/THE,2769503,256,"99,429",0.00%
TREASURY WINE ESTATES LTD,B61JC67,"947,830","10,738,916",0.18%
TRELLEBORG AB-B SHS SER'B'NPV,4902384,243,"13,436",0.00%
TREND MICRO INCORPORATED,6125286,161,"14,205",0.00%
TRIMBLE LTD,2903958,216,"24,612",0.00%
TRINA SOLAR CO LTD-A,BP91P03,"23,898","101,472",0.00%
TRIP.COM GROUP LTD,BK1K3N2,"29,082","3,225,060",0.05%
TRIPLE FLAG PRECIOUS MET,BJ171P4,"17,865","433,361",0.01%
TRUIST FINANCIAL CORP,BKP7287,"1,344","94,168",0.00%
TRUPANION INC TRUP,BP3YM85,"5,951","463,313",0.01%
TRYG A/S,BXDZ972,318,"10,788",0.00%
"TSUTSUMI JEWELRY CO.,LTD. TSUTSUMI JEWEL",6907150,"8,841","201,064",0.00%
TUAS LTD,BM94P78,"29,001","184,445",0.00%
TULLOW OIL PLC SHS,150080,"764,603","331,595",0.01%
TURACO GOLD LTD,BMCC5V3,"64,971","16,568",0.00%
TWILIO INC -A,BD6P5Q0,164,"28,564",0.00%
TYLER TECHNOLOGIES INC COM USD0.01,2909644,"1,880","1,751,330",0.03%
TYSON FOODS INC-CL A CL A,2909730,280,"25,933",0.00%
UBER TECHNOLOGIES INC UBER,BK6N347,"1,982","193,105",0.00%
UBS GROUP AG UBSG,BRJL176,"72,361","3,576,130",0.06%
UCB SA NPV,5596991,145,"46,523",0.00%
UDR INC COM USD0.01,2727910,372,"26,059",0.00%
U-HAUL HOLDING CO,BP0VMC3,79,"8,216",0.00%
ULTA SALON COSMETICS & FRAGR COM STK USD,B28TS42,62,"43,706",0.00%
ULTRATECH CEMENT LTD,B01GZF6,"7,436","1,602,875",0.03%
UNIBAIL - RODAMCO-WESTFIELD,BF2PQ09,160,"19,471",0.00%
UNIBAIL-RODAMCO-WTFIELD-CDI,BDDR365,"21,914","131,921",0.00%
UNI-CHARM CORPORATION UNI-CHARM CORPORAT,6911485,"1,520","20,340",0.00%
UNICREDIT SPA UCGM,BYMXPS7,"1,854","119,483",0.00%
UNILEVER PLC,B10RZP7,"63,473","5,839,290",0.10%
UNILEVER PLC,BLRB262,106,"9,684",0.00%
UNION PAC CORP COM,2914734,"2,879","1,060,453",0.02%
UNITED OVERSEAS BANK,6916781,"1,212","52,132",0.00%
UNITED PARCEL SERVICE CL B,2517382,790,"160,916",0.00%
UNITED RENTALS INC COM,2134781,70,"79,839",0.00%
UNITED THERAPEUTICS CORP COM STK USD0.01,2430412,47,"26,575",0.00%
UNITED UTILITIES GROUP PLC,B39J2M4,940,"19,983",0.00%
UNITEDHEALTH GROUP INC,2917766,"5,320","4,346,365",0.07%
UNIVERSAL HEALTH SERVICES-B CLASS'B'COM,2923785,73,"21,258",0.00%
UNIVERSAL MUSIC GROUP BV,BNZGVV1,"36,827","1,522,553",0.03%
UNIVERSAL SCIENTIFIC INDUS-A,BP3R4F5,"105,209","381,907",0.01%
UNIVERSAL STORE HOLDINGS LTD,BMCK9H1,"105,122","901,944",0.02%
UPM-KYMMENE OYJ,5051252,"13,043","579,378",0.01%
UPTAKE TECHNOLOGIES INC CLASS C COMMON S,MFSS000000312163,"116,183",0,0.00%
US BANCORP COM NEW,2736035,"1,550","119,722",0.00%
USHIO INC,6918981,"23,237","508,653",0.01%
VALARIS LTD,BMY0YX0,"9,616","687,060",0.01%
VALERO ENERGY CORP NEW COM,2041364,362,"71,699",0.00%
VALLOUREC SA,BLGWF90,"11,669","320,458",0.01%
VALMET CORP,BH6XZT5,"5,168","201,641",0.00%
VANGUARD AUST SHARES IDX ETF,AU000000VAS1 (ISIN),"52,474","5,338,195",0.09%
VARUN BEVERAGES LTD,BQB80M6,"206,515","2,487,484",0.04%
VAT GROUP AG,BYZWMR9,27,"16,498",0.00%
VAULT MINERALS LTD,BSML1B4,"2,497,429","824,152",0.01%
VEECO INSTRUMENTS INC COM STK USD0.01,2938422,"2,342","101,384",0.00%
VEEVA SYSTEMS INC-CLASS A COM USD0.00001,BFH3N85,"4,568","1,551,212",0.03%
VENTAS INC COM USD0.25,2927925,409,"38,878",0.00%
VENTIA SERVICES GROUP PTY LT,BNV08F0,"21,413","77,088",0.00%
VERALTO CORP-W/I,BPGMZQ5,219,"36,071",0.00%
VERBUND AG,4661607,29,"3,386",0.00%
VERISIGN INC COM,2142922,"20,333","6,796,731",0.11%
VERISK ANALYTICS INC-CLASS A COM USD0.00,B4P9W92,"4,023","1,789,583",0.03%
VERIZON COMMUNICATIONS COM,2090571,"4,684","302,513",0.01%
VERRA MOBILITY CORP,BFXX5X8,"53,065","2,072,385",0.03%
VERTEX PHARMACEUTICALS INC COM USD0.01,2931034,276,"179,565",0.00%
VERTIV HOLDINGS CO,BL3LWS8,422,"77,455",0.00%
VESTAS WIND SYSTEMS A/S,BN4MYF5,"1,152","25,342",0.00%
VIATRIS INC-W/I,BMWS3X9,"1,809","36,369",0.00%
VICI PROPERTIES INC,BYWH073,"5,573","262,898",0.00%
VICINITY CENTERS VCX,BY7QXS7,"1,318,027","2,767,856",0.05%
VICTORIAN PLUMBING PLC,BNVVHD4,"571,824","1,073,390",0.02%
VICTORY GIANT TECHNOLOGY -A,BD76164,"20,563","190,404",0.00%
VIETNAM DAIRY PRODUCT CO VND10000,B16GLK5,"316,168","1,270,397",0.02%
VINCI SA,B1XH026,490,"81,707",0.00%
VIPSHOP HOLDINGS LTD - ADS,B3N0H17,"18,893","411,026",0.01%
VISA INC-CLASS A SHARES COM STK USD0.000,B2PZN04,"47,623","24,308,545",0.40%
VISTA ENERGY SAB DE CV,US92837L1098 (ISIN),"10,006","874,497",0.01%
VISTRA CORP,BZ8VJQ8,388,"86,352",0.00%
VISTRY GROUP PLC,185929,"56,495","653,656",0.01%
VITESSE ENERGY INC-W/I,BMBX3P7,"1,095","44,208",0.00%
VIVA ENERGY GROUP LTD VEA,BYQM3N1,"3,034,763","7,981,428",0.13%
VODAFONE GROUP PLC,BH4HKS3,"25,452","35,164",0.00%
VOLKSWAGEN AG-PREF,5497168,239,"35,547",0.00%
VOLTRONIC POWER TECHNOLOGY VOLTRONIC POW,B96HCH8,"13,865","1,270,481",0.02%
VOLVO AB-A SHS VOLVO AB-A SHS,B1QH7Y4,-455,"-17,956",0.00%
VOLVO AB-B SHS,B1QH830,"1,870","73,425",0.00%
VONOVIA SE,BBJPFY1,643,"31,524",0.00%
VULCAN MATLS CO COM,2931205,128,"53,059",0.00%
WABTEC CORP,2955733,193,"59,233",0.00%
WALGREENS BOOTS ALLIANCE INC WBA,BTN1Y44,777,"11,705",0.00%
WALMART DE MEXICO-SER V SER'V'NPV,BW1YVH8,"169,345","722,038",0.01%
WALMART INC,2936921,"4,662","680,341",0.01%
WAREHOUSES DE PAUW SCA,BK8VQD9,252,"8,000",0.00%
WARNER BROS DISCOVERY INC,BM8JYX3,"2,272","38,790",0.00%
WARRIOR MET COAL INC HCC,BF2X272,"15,368","1,346,262",0.02%
WASHINGTON H. SOUL PATTINSON NPV,6821807,"59,706","2,043,137",0.03%
WASTE CONNECTIONS INC,BYVG1F6,245,"67,896",0.00%
WASTE MGMT INC DEL COM,2937667,440,"143,502",0.00%
WATCHES OF SWITZERLAND GROUP,BJDQQ87,"25,520","288,815",0.00%
WATERS CORP COM,2937689,"2,932","1,756,853",0.03%
WATSCO INC COM USD0.50,2943039,37,"28,538",0.00%
WAYPOINT REIT LTD WPR,BLBQ285,"704,716","1,641,989",0.03%
WEB TRAVEL GROUP LTD,6015815,"518,949","2,381,978",0.04%
WEBJET GROUP LTD,BSY5JG5,"360,077","313,267",0.01%
WEC ENERGY GROUP INC,BYY8XK8,329,"49,982",0.00%
WEG SA COM NPV,2945422,"113,392","1,564,359",0.03%
WEICHAI POWER CO LTD-A,BD5CQ03,"101,169","304,921",0.01%
WELLS FARGO & CO NEW COM,2649100,"25,762","2,922,647",0.05%
WELLTOWER INC HCN,BYVYHH4,715,"145,585",0.00%
WESFARMERS LIMITED,6948836,"182,034","13,020,863",0.22%
WEST AFRICAN RESOURCES LTD WAF,B4KBBN0,"-1,197","-1,717",0.00%
WEST FRASER TIMBER CO LTD COM NPV,2951098,"8,226","1,150,611",0.02%
WEST JAPAN RAILWAY CO,6957995,577,"16,597",0.00%
WEST PHARMACEUTICAL SERVICES COM USD0.25,2950482,65,"34,341",0.00%
WESTERN DIGITAL CORP COM,2954699,291,"28,011",0.00%
WESTERN MINING CO -A,BP3R7X4,"104,449","369,266",0.01%
WESTGOLD RESOURCES LTD,BYVQ673,"170,450","482,373",0.01%
WESTLAKE CORP,B01ZP20,42,"7,785",0.00%
WESTON GEORGE LTD COM,2956662,91,"22,945",0.00%
WESTPAC BANKING CORPORATION,6076146,"1,080,090","34,908,501",0.58%
WETHERSPOON (J.D.) PLC ORD GBP0.02,163895,"63,046","765,165",0.01%
WEYERHAEUSER CO WY,2958936,"2,343","106,535",0.00%
